country,Continent,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,250.0,270.0,330.0,360.0,460.0,500.0,560.0,670.0,680.0,650.0,600.0,580.0,570.0
Albania,EU,,,,,,,,,,,,,,,,,,,,,,,,,720.0,760.0,760.0,790.0,680.0,420.0,300.0,320.0,400.0,660.0,920.0,830.0,900.0,1010.0,1170.0,1330.0,1410.0,1690.0,2150.0,2670.0,3090.0,3480.0,3950.0,4230.0,4360.0,4410.0,4360.0,4540.0,4540.0,4390.0,4320.0,4320.0
Algeria,AF,190.0,230.0,240.0,240.0,230.0,250.0,280.0,310.0,330.0,310.0,430.0,530.0,710.0,910.0,1050.0,1140.0,1350.0,1670.0,2010.0,2220.0,2280.0,2210.0,2260.0,2390.0,2590.0,2810.0,2750.0,2540.0,2360.0,1990.0,1890.0,1720.0,1610.0,1550.0,1510.0,1500.0,1530.0,1530.0,1590.0,1660.0,1720.0,1920.0,2240.0,2700.0,3090.0,3580.0,4200.0,4270.0,4460.0,4580.0,5140.0,5480.0,5470.0,4830.0,4360.0,3960.0
Angola,AF,,,,,,,,,,,,,,,,,,,,,,,,560.0,640.0,630.0,630.0,830.0,760.0,1350.0,1140.0,,320.0,430.0,310.0,420.0,390.0,330.0,360.0,390.0,540.0,610.0,800.0,1090.0,1490.0,2150.0,2760.0,3190.0,3240.0,3390.0,3800.0,4340.0,4440.0,4030.0,3450.0,3330.0
Argentina,A,,,,,,,,,,2070.0,1320.0,1230.0,2110.0,2460.0,2220.0,2150.0,2170.0,2600.0,2940.0,2810.0,2570.0,2800.0,2820.0,2650.0,3010.0,3600.0,3900.0,2910.0,3170.0,3950.0,6280.0,7070.0,7540.0,7330.0,7700.0,8110.0,7990.0,7540.0,7440.0,6960.0,3930.0,3550.0,3560.0,4600.0,5450.0,6470.0,7610.0,7730.0,9170.0,10600.0,11800.0,12800.0,12300.0,12300.0,11900.0,13000.0
Armenia,AS / EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,330.0,400.0,460.0,520.0,560.0,590.0,610.0,660.0,710.0,800.0,960.0,1170.0,1540.0,2020.0,2760.0,3600.0,3330.0,3470.0,3530.0,3880.0,4120.0,4150.0,4030.0,3770.0,4000.0
Australia,OC,1870.0,1970.0,2100.0,2270.0,2340.0,2530.0,2730.0,2970.0,3270.0,3470.0,3880.0,4640.0,5940.0,7210.0,7860.0,8070.0,8460.0,9580.0,10800.0,11900.0,12100.0,11600.0,12000.0,12000.0,12300.0,12500.0,14100.0,15600.0,17300.0,18200.0,18500.0,18900.0,18800.0,19300.0,20400.0,21900.0,21700.0,21400.0,21100.0,20100.0,20000.0,21100.0,25500.0,30300.0,34100.0,37300.0,42300.0,44000.0,46600.0,50200.0,60100.0,65900.0,65000.0,60400.0,54100.0,51400.0
Austria,EU,1060.0,1140.0,1240.0,1340.0,1470.0,1560.0,1680.0,1850.0,2070.0,2320.0,2760.0,3580.0,4650.0,5540.0,5980.0,6660.0,7540.0,9620.0,11500.0,11200.0,10400.0,9600.0,9270.0,9360.0,10800.0,13800.0,18100.0,19300.0,20600.0,21800.0,24500.0,24900.0,26100.0,28200.0,30100.0,29600.0,28000.0,27100.0,26800.0,25300.0,25000.0,28000.0,33800.0,38700.0,41500.0,44500.0,49100.0,49000.0,49600.0,50600.0,50100.0,50700.0,50400.0,47600.0,45900.0,45400.0
Azerbaijan,AS / EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.0,430.0,400.0,400.0,450.0,510.0,570.0,610.0,660.0,720.0,820.0,950.0,1270.0,1890.0,2710.0,3900.0,4830.0,5410.0,5560.0,6480.0,7450.0,7700.0,6550.0,4760.0,4080.0
Bahrain,AS,,,,,,,,,,,,,,,,,,,,,8310.0,8730.0,9210.0,8090.0,7450.0,7830.0,7570.0,7310.0,7220.0,9800.0,9880.0,10000.0,9680.0,10400.0,10800.0,10300.0,10100.0,9870.0,10900.0,11500.0,12100.0,13000.0,14600.0,16600.0,17900.0,19700.0,20900.0,18800.0,19000.0,18400.0,19900.0,21700.0,21000.0,22700.0,21400.0,20200.0
