country,Continent,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AS,0.295,0.3,0.309,0.305,0.3,0.324,0.32799999999999996,0.332,0.335,0.33799999999999997,0.34,0.341,0.373,0.381,0.396,0.405,0.415,0.433,0.434,0.44799999999999995,0.45399999999999996,0.46299999999999997,0.47,0.47600000000000003,0.479,0.479
Albania,EU,0.635,0.618,0.603,0.608,0.616,0.628,0.637,0.636,0.6459999999999999,0.6559999999999999,0.662,0.67,0.674,0.6809999999999999,0.685,0.696,0.703,0.713,0.721,0.725,0.738,0.752,0.759,0.7609999999999999,0.762,0.764
Algeria,AF,0.5770000000000001,0.581,0.5870000000000001,0.591,0.595,0.6,0.609,0.617,0.627,0.636,0.644,0.653,0.6629999999999999,0.6729999999999999,0.68,0.6859999999999999,0.69,0.6970000000000001,0.705,0.7140000000000001,0.7240000000000001,0.732,0.737,0.741,0.743,0.745
Angola,AF,,,,,,,,,,0.382,0.391,0.401,0.406,0.415,0.426,0.439,0.45399999999999996,0.46799999999999997,0.48,0.488,0.495,0.508,0.523,0.527,0.531,0.5329999999999999
Argentina,A,0.705,0.713,0.72,0.725,0.728,0.731,0.738,0.746,0.753,0.764,0.7709999999999999,0.7759999999999999,0.77,0.775,0.78,0.782,0.7879999999999999,0.792,0.794,0.802,0.816,0.8220000000000001,0.823,0.825,0.826,0.8270000000000001
Armenia,AS / EU,0.634,0.628,0.595,0.593,0.597,0.603,0.609,0.618,0.632,0.639,0.644,0.645,0.657,0.6679999999999999,0.679,0.6920000000000001,0.7070000000000001,0.721,0.725,0.72,0.7290000000000001,0.732,0.736,0.7390000000000001,0.741,0.743
Australia,OC,0.866,0.867,0.871,0.8740000000000001,0.8759999999999999,0.885,0.888,0.8909999999999999,0.894,0.897,0.899,0.902,0.905,0.9079999999999999,0.91,0.915,0.9179999999999999,0.9209999999999999,0.925,0.927,0.927,0.93,0.9329999999999999,0.9359999999999999,0.937,0.9390000000000001
Austria,EU,0.794,0.7979999999999999,0.804,0.8059999999999999,0.812,0.816,0.8190000000000001,0.823,0.833,0.833,0.8370000000000001,0.847,0.8370000000000001,0.841,0.848,0.8540000000000001,0.86,0.8640000000000001,0.87,0.872,0.88,0.884,0.887,0.892,0.892,0.893
Azerbaijan,AS / EU,,,,,,0.609,0.61,0.615,0.626,0.636,0.642,0.6509999999999999,0.659,0.6679999999999999,0.675,0.682,0.708,0.7190000000000001,0.728,0.737,0.741,0.742,0.745,0.752,0.758,0.759
Bahrain,AS,0.745,0.7509999999999999,0.757,0.765,0.768,0.775,0.778,0.779,0.7829999999999999,0.7859999999999999,0.794,0.7959999999999999,0.7979999999999999,0.8029999999999999,0.8059999999999999,0.81,0.813,0.815,0.8140000000000001,0.81,0.812,0.812,0.815,0.82,0.823,0.8240000000000001
Bangladesh,AS,0.386,0.39299999999999996,0.4,0.408,0.415,0.423,0.43200000000000005,0.441,0.45,0.45899999999999996,0.46799999999999997,0.47600000000000003,0.484,0.491,0.499,0.506,0.513,0.52,0.523,0.535,0.545,0.557,0.565,0.57,0.575,0.579
Belarus,EU,,,,,,0.655,0.659,0.6659999999999999,0.67,0.675,0.6809999999999999,0.687,0.695,0.703,0.713,0.723,0.7390000000000001,0.755,0.7709999999999999,0.78,0.787,0.7929999999999999,0.7959999999999999,0.7959999999999999,0.7979999999999999,0.7959999999999999
Belgium,EU,0.805,0.809,0.8240000000000001,0.838,0.8440000000000001,0.851,0.856,0.861,0.865,0.8690000000000001,0.873,0.875,0.878,0.88,0.861,0.865,0.871,0.8740000000000001,0.8759999999999999,0.878,0.884,0.8859999999999999,0.889,0.89,0.895,0.8959999999999999
Benin,AF,0.345,0.35100000000000003,0.355,0.361,0.365,0.371,0.375,0.38,0.384,0.389,0.395,0.40700000000000003,0.41600000000000004,0.423,0.43,0.434,0.43799999999999994,0.444,0.44799999999999995,0.451,0.45399999999999996,0.45799999999999996,0.466,0.475,0.48100000000000004,0.485
Bolivia,A,0.535,0.5429999999999999,0.5489999999999999,0.556,0.564,0.5710000000000001,0.5770000000000001,0.579,0.591,0.6,0.607,0.61,0.617,0.62,0.622,0.625,0.626,0.632,0.636,0.643,0.649,0.655,0.6609999999999999,0.6659999999999999,0.6709999999999999,0.674
Bosnia and Herzegovina,EU,,,,,,,,,,,,,,,,0.6970000000000001,0.703,0.71,0.716,0.7170000000000001,0.711,0.728,0.735,0.742,0.747,0.75
Botswana,AF,0.585,0.5920000000000001,0.59,0.5870000000000001,0.581,0.58,0.575,0.5720000000000001,0.564,0.5589999999999999,0.56,0.5579999999999999,0.5670000000000001,0.58,0.593,0.61,0.63,0.6459999999999999,0.6609999999999999,0.669,0.6779999999999999,0.687,0.693,0.6970000000000001,0.698,0.698
Brazil,A,0.611,0.615,0.622,0.631,0.64,0.649,0.6559999999999999,0.664,0.6709999999999999,0.677,0.685,0.6920000000000001,0.6990000000000001,0.695,0.6940000000000001,0.698,0.7,0.7040000000000001,0.7140000000000001,0.716,0.7240000000000001,0.73,0.7340000000000001,0.747,0.754,0.754
Bulgaria,EU,0.7,0.696,0.696,0.696,0.6970000000000001,0.7020000000000001,0.7020000000000001,0.7040000000000001,0.7090000000000001,0.7090000000000001,0.713,0.723,0.7290000000000001,0.738,0.745,0.75,0.755,0.7609999999999999,0.768,0.77,0.775,0.778,0.7809999999999999,0.787,0.792,0.794
Burkina Faso,AF,,,,,,,,,,,,,,,,0.325,0.33399999999999996,0.345,0.35600000000000004,0.365,0.377,0.384,0.392,0.39799999999999996,0.39899999999999997,0.402
