country,Continent
Afghanistan,AS
Albania,EU
Algeria,AF
Angola,AF
Argentina,A
Armenia,AS / EU
Australia,OC
Austria,EU
Azerbaijan,AS / EU
Bahrain,AS
Bangladesh,AS
Belarus,EU
Belgium,EU
Benin,AF
Bolivia,A
Bosnia and Herzegovina,EU
Botswana,AF
Brazil,A
Bulgaria,EU
Burkina Faso,AF
Burundi,AF
Cambodia,AS
Cameroon,AF
Canada,A
Chad,AF
Chile,A
Colombia,A
"Congo, Dem. Rep.",AF
"Congo, Rep.",AF
Costa Rica,A
Cote d'Ivoire,AF
Croatia,EU
Cuba,A
Cyprus,AS / EU
Czech Republic,EU
Denmark,EU
Dominican Republic,A
Ecuador,A
Egypt,AF
El Salvador,A
Equatorial Guinea,AF
Eritrea,AF
Estonia,EU
Ethiopia,AF
Finland,EU
France,EU
Gabon,AF
Gambia,AF
Georgia,AS / EU
Germany,EU
Ghana,AF
Greece,EU
Guatemala,A
Guinea,AF
Haiti,A
Honduras,A
Hungary,EU
India,AS
Indonesia,AS
Iran,AS
Ireland,EU
Israel,AS
Italy,EU
Jamaica,A
Japan,AS
Jordan,AS
Kazakhstan,AS / EU
Kenya,AF
Kuwait,AS
Kyrgyz Republic,AS
Lao,AS
Latvia,EU
Lebanon,AS
Lesotho,AF
Liberia,AF
Lithuania,EU
Madagascar,AF
Malawi,AF
Malaysia,AS
Mali,AF
Mauritania,AF
Mauritius,AF
Mexico,A
Moldova,EU
Mongolia,AS
Morocco,AF
Mozambique,AF
Myanmar,AS
Namibia,AF
Nepal,AS
Netherlands,EU
New Zealand,OC
Nicaragua,A
Niger,AF
North Macedonia,EU
Norway,EU
Pakistan,AS
Panama,A
Paraguay,A
Peru,A
Philippines,AS
Poland,EU
Portugal,EU
Qatar,AS
Romania,EU
Russia,AS / EU
Rwanda,AF
Saudi Arabia,AS
Senegal,AF
Serbia,EU
Sierra Leone,AF
Singapore,AS
Slovak Republic,EU
Slovenia,EU
South Africa,AF
South Korea,AS
Spain,EU
Sri Lanka,AS
Swaziland,AF
Sweden,EU
Switzerland,EU
Syria,AS
Tajikistan,AS
Tanzania,AF
Thailand,AS
Timor-Leste,AS
Trinidad and Tobago,A
Tunisia,AF
Turkey,AS / EU
Uganda,AF
Ukraine,EU
United Arab Emirates,AS
United Kingdom,EU
United States,A
Uruguay,A
Venezuela,A
Vietnam,AS
Yemen,AS
Zambia,AF
Zimbabwe,AF
